,ID,comments,cleaned_comments
0,obYuPJH2oTE,Love this movie,love movi
1,obYuPJH2oTE,Great family movie,great famili movi
2,obYuPJH2oTE,This movie is the best it has inspired me to build my own huge robot but I have not done anything about it,movi best inspir build huge robot done anyth
3,obYuPJH2oTE,This movie is the best it has inspired me to build my own huge robot but I have not done anything about it,movi best inspir build huge robot done anyth
4,obYuPJH2oTE,Real steel two ( 20th century studios DreamWorks pictures amblin partners amblin entertainment reliance entertainment twenty one laps entertainment montford Murphy productions imagemovers maximum effort),real steel two th centuri studio dreamwork pictur amblin partner amblin entertain relianc entertain twenti one lap entertain montford murphi product imagemov maximum effort
5,obYuPJH2oTE,Dove le breso,dove le breso
6,obYuPJH2oTE,"amazing<a href=""about:invalid#zCSafez""></a> cooi",amaz cooi
7,obYuPJH2oTE,from when i am searching a movie like this,search movi like
8,obYuPJH2oTE,E,e
9,obYuPJH2oTE,Shown in:<br>True Grit<br>Pirates of the Caribbean: On Stranger Tides<br>X-Men First Class<br>Super 8<br>Transformers: Dark of the Moon (IMAX Print)<br>Fright Night <br>Drive<br>Moneyball,shown true gritpir caribbean stranger tidesx men first classsup transform dark moon imax print fright night drivemoneybal
10,obYuPJH2oTE,Please make a second movie we love it pls 🥺🥺😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭🙏🏻🙏🏻🙏🏻😭🙏🏻😭🙏🏻😭🙏🏻😭🙏🏻,pleas make second movi love pl
11,obYuPJH2oTE,👍👍👍👍👍👍👍👍👍👍,
12,obYuPJH2oTE,ATOM kryt,atom kryt
13,obYuPJH2oTE,From twilight zone.,twilight zone
14,obYuPJH2oTE,"Turns 10!<br>I saw this with my older sister <br><br>highly enjoyable<br><br>puts a cool, slick feel to the sports genre<br><br>the special effects convinced me alot and the characters were spot on<br><br>the emotional stuff could have been dwindled down a bit, to me it slowed down the story<br><br>but by the end I was clapping and cheering<br><br>its Rock &#39;em Sock &#39;em Robots for little children :)",turn saw older sister highli enjoyableput cool slick feel sport genreth special effect convinc alot charact spot onth emot stuff could dwindl bit slow storybut end clap cheeringit rock em sock em robot littl children
15,obYuPJH2oTE,"This was a gem of an film.<br>Hope that the sequel can still become a reality.<br><br><a href=""http://www.youtube.com/results?search_query=%2310yearsago"">#10yearsago</a>💎🎞",gem film hope sequel still becom realiti yearsago
16,obYuPJH2oTE,This is greateast robot film,greateast robot film
17,obYuPJH2oTE,Can’t believe its been 10 years haha,believ year haha
18,obYuPJH2oTE,"<a href=""https://www.youtube.com/watch?v=obYuPJH2oTE&amp;t=0m40s"">0:40</a> Zeus is kinda looking messed upp",zeu kinda look mess upp
19,obYuPJH2oTE,Underrated gem but i think it will become a cult classic,underr gem think becom cult classic
20,obYuPJH2oTE,🔥🔥🔥,
21,obYuPJH2oTE,never watched this but it looks good defiantly gonna watch it this weekend,never watch look good defiantli gon na watch weekend
22,obYuPJH2oTE,10th Anniversary of Real Steel (2011-2021),th anniversari real steel
23,obYuPJH2oTE,I love you real steel movie and 2,love real steel movi
24,obYuPJH2oTE,Yes real steel 2 movie ...my allin gifts now please,ye real steel movi allin gift pleas
25,obYuPJH2oTE,NOİSY BOY TWİN CİTİES METRO MİDAS ZEUS AND THE PEOPLE CHAMPİON ATOM !,sy boy tw n c es metro da zeu peopl champ atom
26,obYuPJH2oTE,Hey,hey
27,obYuPJH2oTE,is a movie very good,movi good
28,obYuPJH2oTE,This is actually 1 of the most popular movie in 2011 now im still watching it every year.,actual popular movi im still watch everi year
29,obYuPJH2oTE,Is real steel is coming  real steel2 ?,real steel come real steel
30,obYuPJH2oTE,poto,poto
31,obYuPJH2oTE,Freee,freee
32,obYuPJH2oTE,Eh?,eh
33,obYuPJH2oTE,poto,poto
34,hKVY94MpUiE,What species of piranha is it? Xiphactinus?,speci piranha xiphactinu
35,hKVY94MpUiE,"Hang on, piranhas are the most evilest freshwater fish!",hang piranha evilest freshwat fish
36,hKVY94MpUiE,Yes the movie is corny. Yes it is campy. It is also crazy violent. But it is in my pile of guilty pleasures.,ye movi corni ye campi also crazi violent pile guilti pleasur
37,hKVY94MpUiE,I can&#39;t believe this is actually a movie 💀💀💀💀,believ actual movi
38,hKVY94MpUiE,Bruh the first time i saw this i thought it was good....lol only when you have see better graphics and story lines you realize this is crap,bruh first time saw thought good lol see better graphic stori line realiz crap
39,hKVY94MpUiE,The title should be piranhas come back,titl piranha come back
40,hKVY94MpUiE,"Mom:no more fortnite me: <a href=""https://www.youtube.com/watch?v=hKVY94MpUiE&amp;t=1m44s"">1:44</a>",mom fortnit
41,hKVY94MpUiE,&quot;Classic&quot; trailer,quot classic quot trailer
42,hKVY94MpUiE,"<a href=""https://www.youtube.com/watch?v=hKVY94MpUiE&amp;t=1m06s"">1:06</a> &quot;THEY WERE FROZEN TODAY!&quot;<br><br>had to!",quot frozen today quot
43,hKVY94MpUiE,"Here’s an idea, STAY OUT OF THE FREAKING WATER",idea stay freak water
44,hKVY94MpUiE,he lit a flare...underwater...,lit flare underwat
45,hKVY94MpUiE,Jeremy Gilbert,jeremi gilbert
46,hKVY94MpUiE,"This looks terrible, but I am in love with Adam Scott. Is watching this crap worth it?",look terribl love adam scott watch crap worth
47,hKVY94MpUiE,I like this movie 😎😎😆😜🎃👑🌈⚽️🏆🏆🖥📺💰🇪🇨🇺🇸,like movi
48,hKVY94MpUiE,HOW. FAST. CAN. YOU. SWIM?,fast swim
49,hKVY94MpUiE,This is why I swim in my bathtub,swim bathtub
50,hKVY94MpUiE,this movie is what dreams are made 🐺 of it looked more prehistoric kind of mammal just saying🤔🤔🤔,movi dream made look prehistor kind mammal say
51,hKVY94MpUiE,"piranhas hunt in schools, not packs.",piranha hunt school pack
52,hKVY94MpUiE,They would make nice pets.,would make nice pet
53,hKVY94MpUiE,That movies Dooope,movi dooop
54,hKVY94MpUiE,my favorite part of the movie is when the boat crashes into the Rock and they fell off the boat and the piranha comes out of the girl&#39;s mouth eating her insides then we see her skeleton a moment later that part freak the hell out of me,favorit part movi boat crash rock fell boat piranha come girl mouth eat insid see skeleton moment later part freak hell
55,hKVY94MpUiE,why do horror movies always have to have stupid slutty college girls.,horror movi alway stupid slutti colleg girl
56,hKVY94MpUiE,GREAT SCOTT!! We have to go back to the past to stop the teens marty!!,great scott go back past stop teen marti
57,hKVY94MpUiE,Jaws was only the beginning.... then it got pregnant and gave birth to these movie,jaw begin got pregnant gave birth movi
58,hKVY94MpUiE,This is why I hate water 😂,hate water
59,hKVY94MpUiE,"<a href=""http://www.youtube.com/watch?v=hKVY94MpUiE&amp;t=0m54s"">0:54</a>! Someone tell me the name of the music!!!!",someon tell name music
60,hKVY94MpUiE,"what are those in <a href=""http://www.youtube.com/watch?v=hKVY94MpUiE&amp;t=0m33s"">0:33</a>",
61,hKVY94MpUiE,piranhas are fresh water fish...great job film logic.,piranha fresh water fish great job film logic
62,hKVY94MpUiE,if you love yo titties I 10/10 recommend!!!,love yo titti recommend
