,ID,comments,cleaned_comments
0,dbYST9QhCYY,Very funny movie!,funni movi
1,dbYST9QhCYY,it a great movie!,great movi
2,dbYST9QhCYY,katy perry- hot n cold,kati perri hot n cold
3,dbYST9QhCYY,i love this movie!!,love movi
5,dbYST9QhCYY,Come to Canada man!! *waves a Canadian flag*,come canada man wave canadian flag
7,dbYST9QhCYY,2:16 She has a tattoo!!,tattoo
8,dbYST9QhCYY,1:23 sonG??,song
9,dbYST9QhCYY,I&#39;d watch it.....,watch
11,dbYST9QhCYY,Thank goodness!,thank good
12,dbYST9QhCYY,&quot;what is that ?  what is it?&quot;  ... &quot;its the morning&quot;   hahaha so hilarious,quot quot quot morn quot hahaha hilari
13,dbYST9QhCYY,Sandra Bullock. Attractive. Smart. Funny. Talented.  She is the TOTAL PACKAGE.,sandra bullock attract smart funni talent total packag
14,dbYST9QhCYY,LOL! I just love Sandra Bullock she is so darn funny and cute :),lol love sandra bullock darn funni cute
15,dbYST9QhCYY,Okay... I haven&#39;t seen the film yet but it looks like a bad fanfiction. The &quot;eww I saw you naked&quot; thing has been done way too many times.,okay seen film yet look like bad fanfict quot eww saw nake quot thing done way mani time
16,dbYST9QhCYY,"I&#39;m all for anyone marrying, who wants to. Also, I would love to see movies of not hetero relationships. I was lamenting on the boring romantic comedies. They are all the same. People have no imagination anymore.",anyon marri want also would love see movi hetero relationship lament bore romant comedi peopl imagin anymor
17,dbYST9QhCYY,Great... another story about straight relationships.  They get to marry for the wrong reasons.  I can&#39;t marry here in my great hate state of California for the right reasons...,great anoth stori straight relationship get marri wrong reason marri great hate state california right reason
18,dbYST9QhCYY,1:30 repeat several times n&#39; u will hear Renold said cum to Sandra while she said Alaska in a funny way!!,repeat sever time n u hear renold said cum sandra said alaska funni way
19,dbYST9QhCYY,"Lol, tough luck. XD I should go watch this show.",lol tough luck xd go watch show
20,dbYST9QhCYY,This was an awesome movie I love it &lt;33,awesom movi love lt
21,dbYST9QhCYY,great movie!! &lt;3 it!,great movi lt
22,dbYST9QhCYY,"have not seen it, but willing to:)",seen will
23,dbYST9QhCYY,this is a great movie:D,great movi
24,dbYST9QhCYY,That was a hilarious movie! -I reccomend this and The Ugly Truth-,hilari movi reccomend ugli truth
25,dbYST9QhCYY,what does this have to do with Disney?,disney
26,dbYST9QhCYY,This is apart of Disney? Never thought of it,apart disney never thought
27,dbYST9QhCYY,I want to see this movie so bad!!!!!!!!!!! It looks so funny,want see movi bad look funni
28,dbYST9QhCYY,takin care of business by bachman-turner overdrive,takin care busi bachman turner overdr
29,dbYST9QhCYY,This looks absolutely hilarious.,look absolut hilari
30,dbYST9QhCYY,great movie XD,great movi xd
31,dbYST9QhCYY,I love SANDRA BULLOCK . She is an amazing woman,love sandra bullock amaz woman
32,dbYST9QhCYY,What&#39;s the first song?,first song
33,dbYST9QhCYY,Funniest movie ever!,funniest movi ever
34,dbYST9QhCYY,its already out and its a very funny movie enjoyable for humor and comedy ^^ and very enjoyable to see as a romance movie,alreadi funni movi enjoy humor comedi enjoy see romanc movi
35,dbYST9QhCYY,Saw it! Loved it! SOOOOO GOOD! A Must see,saw love sooooo good must see
36,dbYST9QhCYY,HA HA HA - This is going to be a good one.  When is coming out?,ha ha ha go good one come
37,dbYST9QhCYY,Lol...I wish for a wedding dress like this :D,lol wish wed dress like
38,dbYST9QhCYY,saw it.....awesome and addicting!,saw awesom addict
41,dbYST9QhCYY,nice one!!,nice one
42,dbYST9QhCYY,It seems to be nice!,seem nice
43,dbYST9QhCYY,Hot n Cold!!! And i didnt know this was made by disney! Long live KATY!,hot n cold didnt know made disney long live kati
44,WGS9M6uiOW4,Nina Simone’s song tho🙌🏻🙌🏻,nina simon song tho
45,WGS9M6uiOW4,"I know that 1955 was a desired year to love and live in and this was clearly seen by the way the artist set stage with its cars and artifacts throughout the movie. This movie has a universe of information and knowledge on how actors need to perform Maybe when we start watching this movie you will see what I am describing. This movie at first was skeptical and I was slightly concerned however it became masterpiece within a few minutes. To interact with actual actors is phenomenal. As a clever director does there was tons of irony , symbolism and procrastination to keep you at the end of your seat. Practically every scene was a masterpiece. Is the whole endeavor of moving to Paris a bright choice ? Turn on the television, find the movie , place on your undivided attention. The movie feels pleasure, it feels learned, it feels good , it feels sad , it feels like a lovely surprise. A small but very important movie and win or was it a loss of heart as I rank this a 9 !",know desir year love live clearli seen way artist set stage car artifact throughout movi movi univers inform knowledg actor need perform mayb start watch movi see describ movi first skeptic slightli concern howev becam masterpiec within minut interact actual actor phenomen clever director ton ironi symbol procrastin keep end seat practic everi scene masterpiec whole endeavor move pari bright choic turn televis find movi place undivid attent movi feel pleasur feel learn feel good feel sad feel like love surpris small import movi win loss heart rank
47,WGS9M6uiOW4,"Who would&#39;ve thought that owning a giant house, having a job and being married to a person who looked like Kate Winslet (while you look like Leo DiCaprio) could be so horrifying. Only in the US",would thought own giant hous job marri person look like kate winslet look like leo dicaprio could horrifi us
48,WGS9M6uiOW4,Wtf I didn&#39;t know they made another movie. I gotta watch this..gonna get off to to this...,wtf know made anoth movi got ta watch gon na get
49,WGS9M6uiOW4,Agatha??,agatha
50,WGS9M6uiOW4,it would be way more different if it wasn&#39;t leo and kate. love them,would way differ leo kate love
51,WGS9M6uiOW4,Two ascar are worked in this movie<br>Hero : leonardo DiCaprio<br>Cinematographer : Robert deakins,two ascar work moviehero leonardo dicapriocinematograph robert deakin
52,WGS9M6uiOW4,"ب الدقيقه <a href=""https://www.youtube.com/watch?v=WGS9M6uiOW4&amp;t=1h28m10s"">1:28:10</a>",
53,WGS9M6uiOW4,What dreamworks 🤗,dreamwork
54,WGS9M6uiOW4,Jack and Rose❤❤❤❤❤,jack rose
55,WGS9M6uiOW4,When jack survived and got married to Rose :-,jack surviv got marri rose
56,WGS9M6uiOW4,Alternative title: First World Problems.,altern titl first world problem
57,WGS9M6uiOW4,Horror at it finest,horror finest
58,WGS9M6uiOW4,Bowie,bowi
59,WGS9M6uiOW4,I AM GLAD I AM NOT HAT KID .,glad hat kid
