,ID,comments,cleaned_comments
0,LRIZ4mCi5Ps,"disrespect, one of the big troubles in the world. i heard someone in the supermarket saying to the female cashier &quot;you soup chicken&quot;.<br>the only truth is, Mark Zuckerberg would have acted more subtle than this Mark wahlberg, e.g. by directing a golddigger test",disrespect one big troubl world heard someon supermarket say femal cashier quot soup chicken quot truth mark zuckerberg would act subtl mark wahlberg e g direct golddigg test
1,LRIZ4mCi5Ps,I wish they ended the movie with the Gatti fight.,wish end movi gatti fight
2,LRIZ4mCi5Ps,I didn&#39;t watch this till 2018  always seen it around and had the dvd and kept putting it to the side and one day it was the only dvd I had left that I didn&#39;t watch and still hesitate to watch it and said the hell with it and I was like why the hell didn&#39;t I watch this sooner 🤣 it&#39;s a really great movie wished they would do a 2nd,watch till alway seen around dvd kept put side one day dvd left watch still hesit watch said hell like hell watch sooner realli great movi wish would nd
3,LRIZ4mCi5Ps,"What a messed up family this was, good movie not as good as southpaw but it was a good movie and it&#39;s a true story, that  documentary of Dickie really made him change his life around it&#39;s crazy because he was a dope fiend but he still will knock you out.. My favorite part of the movie is when he said &quot;I went 10 rounds with sugar Ray Leonard what have you done&quot; It really didn&#39;t matter if sugar Ray Leonard slipped he went 10 rounds with the champ!!!  I&#39;ll give this a 6 1/2 out of a 10 ..  I just love the plot man, I love how dicky tried to escape by jumping out the back window from his peoples, This movie is sad and funny at the same time.",mess famili good movi good southpaw good movi true stori documentari dicki realli made chang life around crazi dope fiend still knock favorit part movi said quot went round sugar ray leonard done quot realli matter sugar ray leonard slip went round champ give love plot man love dicki tri escap jump back window peopl movi sad funni time
4,LRIZ4mCi5Ps,Where can I find this movie!!!!?😞,find movi
5,LRIZ4mCi5Ps,Rubbish acting! Rubbish film!,rubbish act rubbish film
6,LRIZ4mCi5Ps,I know the prequel to “Step Dad” when I see one.,know prequel step dad see one
7,LRIZ4mCi5Ps,Where is gatti in this shitty movie fuckers,gatti shitti movi fucker
8,LRIZ4mCi5Ps,"<a href=""https://www.youtube.com/watch?v=LE4NVeTt9Q0&amp;t=137s"">https://www.youtube.com/watch?v=LE4NVeTt9Q0&amp;t=137s</a><br>this is epic!!!",http www youtub com watch v le nvett q amp sthi epic
9,LRIZ4mCi5Ps,"For those saying the trailer has spoilers: It&#39;s based in a true story, do you say the same about a Mandela movie?? &quot;F*king trailer, who would know he&#39;s being arrested&quot;...<br>Here&#39;s a spoiler 4 u: in the passion of the Christ the main character will be crucified",say trailer spoiler base true stori say mandela movi quot f king trailer would know arrest quot spoiler u passion christ main charact crucifi
10,LRIZ4mCi5Ps,The soundtrack?,soundtrack
11,LRIZ4mCi5Ps,A great movie,great movi
12,LRIZ4mCi5Ps,my dad grew up with mickey ward-  he saw his school fight which to me is so cool.he even showed me where the school fights used to happen and theres even a rotary named after mickey.,dad grew mickey ward saw school fight cool even show school fight use happen there even rotari name mickey
13,LRIZ4mCi5Ps,My favorite boxing movie,favorit box movi
14,LRIZ4mCi5Ps,I’m so blessed I didn’t grow up in this part of the country,bless grow part countri
15,LRIZ4mCi5Ps,It is great to see a film about Irish great micky ward.Hope we can see one about arturo gatti,great see film irish great micki ward hope see one arturo gatti
16,LRIZ4mCi5Ps,קלללללללל,
17,LRIZ4mCi5Ps,"<a href=""https://www.youtube.com/watch?v=LRIZ4mCi5Ps&amp;t=1m59s"">1:59</a> Amy Adams is HOT !!!!",ami adam hot
18,LRIZ4mCi5Ps,Who watching this trailer in 2020<br><br>Christian Bale : Are you professional boxing or not!!! <br><br>Mark Wahlberg : What noooo?,watch trailer christian bale profession box mark wahlberg noooo
19,LRIZ4mCi5Ps,Chris really lost hair?,chri realli lost hair
20,LRIZ4mCi5Ps,This trailer has the entire movie...,trailer entir movi
21,LRIZ4mCi5Ps,It&#39;s an amazing movie 😍,amaz movi
22,LRIZ4mCi5Ps,Well this trailer saved me $5 on Amazon,well trailer save amazon
23,LRIZ4mCi5Ps,"thats me at <a href=""https://www.youtube.com/watch?v=LRIZ4mCi5Ps&amp;t=1m42s"">1:42</a>",that
24,LRIZ4mCi5Ps,"This is the worst fucking trailer for this opus, makes it look like paint by numbers boxing moving instead of the masterpiece it is.",worst fuck trailer opu make look like paint number box move instead masterpiec
25,LRIZ4mCi5Ps,👍,
26,LRIZ4mCi5Ps,That is the WORST IRISH accent i have heard since TOM CRUISE in Far and Away...........,worst irish accent heard sinc tom cruis far away
27,LRIZ4mCi5Ps,bad movie with a lot of potential...,bad movi lot potenti
28,LRIZ4mCi5Ps,Text Book: Dont fight unless you really have to,text book dont fight unless realli
29,LRIZ4mCi5Ps,I fell like I watched the whole film,fell like watch whole film
30,LRIZ4mCi5Ps,"<a href=""https://www.youtube.com/watch?v=LRIZ4mCi5Ps&amp;t=02m16s"">02:16</a> bit always makes me laugh for some reason. Lol",bit alway make laugh reason lol
31,LRIZ4mCi5Ps,"<a href=""https://www.youtube.com/watch?v=LRIZ4mCi5Ps&amp;t=00m54s"">00:54</a> is basically me everyday",basic everyday
32,LRIZ4mCi5Ps,That&#39;s A Real inspiration:4 An Ordinary Human Who Wants 2 Become A Fighter.,real inspir ordinari human want becom fighter
33,LRIZ4mCi5Ps,"Honestly , i was about to see this , but the trailer basicly told the whole story , wtf is that.",honestli see trailer basicli told whole stori wtf
34,LRIZ4mCi5Ps,If you don&#39;t like this movie I will kill you,like movi kill
35,LRIZ4mCi5Ps,legendary cast,legendari cast
36,LRIZ4mCi5Ps,Its a wonderful movie...,wonder movi
37,LRIZ4mCi5Ps,Bale unforgetable,bale unforget
38,LRIZ4mCi5Ps,Love u bale 😍😍😍,love u bale
39,LRIZ4mCi5Ps,"wow, this trailer feels like it&#39;s for a different movie.",wow trailer feel like differ movi
40,LRIZ4mCi5Ps,The mom was a bitch,mom bitch
41,LRIZ4mCi5Ps,"Great movie , but like foreal the trailer basically gives the whole movie .",great movi like foreal trailer basic give whole movi
42,LRIZ4mCi5Ps,GREAT FIGHTER 2010 TRAILER !!!,great fighter trailer
43,LRIZ4mCi5Ps,Where is justin bieber? 🤔,justin bieber
44,LRIZ4mCi5Ps,great movie. period. you don&#39;t have to like the person to admire the talent.,great movi period like person admir talent
45,LRIZ4mCi5Ps,I love that movie,love movi
46,LRIZ4mCi5Ps,Great movie!,great movi
47,LRIZ4mCi5Ps,Trash ass movie,trash ass movi
48,LRIZ4mCi5Ps,"I can&#39;t believe this movie won Oscars and other awards. I just watched and I am not saying it is bad, but it is nothing special. The boxing scenes looked fake af.",believ movi oscar award watch say bad noth special box scene look fake af
49,LRIZ4mCi5Ps,Movie sucked,movi suck
50,LRIZ4mCi5Ps,Me and my brother  :&#39;(,brother
51,LRIZ4mCi5Ps,Proper great movie,proper great movi
52,LRIZ4mCi5Ps,Alright just watched the whole movie from this trailer,alright watch whole movi trailer
53,LRIZ4mCi5Ps,"There isn&#39;t a single likeable character in this entire movie. Christ on a bike, the only thing I was rooting for was the credits.",singl likeabl charact entir movi christ bike thing root credit
54,LRIZ4mCi5Ps,He is my moms cousin,mom cousin
55,LRIZ4mCi5Ps,I watched the HBO documentary &quot;High on Crack Street&quot; and I showed the real Mickey and Dixie,watch hbo documentari quot high crack street quot show real mickey dixi
56,LRIZ4mCi5Ps,"Mark wahlberg is such a bad actor, my god.",mark wahlberg bad actor god
57,LRIZ4mCi5Ps,"name of the Music that starts from <a href=""http://www.youtube.com/watch?v=LRIZ4mCi5Ps&amp;t=0m54s"">0:54</a> ??",name music start
58,LRIZ4mCi5Ps,Im a young boxer and i went to the west end gym where micky ward went they actully filmed where the gym was and the owner that i know was in a bit of the movie!!,im young boxer went west end gym micki ward went actulli film gym owner know bit movi
59,LRIZ4mCi5Ps,You have the whole movie in this trailer:) Maybe they meant &quot;spoiler&quot; instead:),whole movi trailer mayb meant quot spoiler quot instead
60,LRIZ4mCi5Ps,"If you&#39;re wanna see this movie for action, dont, it is WAY MORE about the story. ( it is a bit boring movie )",wan na see movi action dont way stori bit bore movi
61,LRIZ4mCi5Ps,Nothing can even touch warrior.,noth even touch warrior
62,LRIZ4mCi5Ps,0.07 HAHAHA,hahaha
63,LRIZ4mCi5Ps,Make your fucking videos available on mobilr,make fuck video avail mobilr
64,LRIZ4mCi5Ps,An Amazing Life Story!,amaz life stori
65,LRIZ4mCi5Ps,AMAZING!,amaz
66,LRIZ4mCi5Ps,"honestly, this movie bored the living shit out of me and i really dont consider mark an actor since his &quot;performance&quot; in lovely bones",honestli movi bore live shit realli dont consid mark actor sinc quot perform quot love bone
67,LRIZ4mCi5Ps,naww cause i saw the movie a couple weeks ago so I cant even remember how it went!! I was hoping someone on here would know the song or at least part of the lyrics... the soundtrack listing wasn&#39;t right either,naww caus saw movi coupl week ago cant even rememb went hope someon would know song least part lyric soundtrack list right either
68,LRIZ4mCi5Ps,"@lakers0304 fuck, me either. have you tried searching lyrics",laker fuck either tri search lyric
69,LRIZ4mCi5Ps,@urmomzduz ahhhhh thanks MAN!,urmomzduz ahhhhh thank man
70,LRIZ4mCi5Ps,Anyone know what the song is called that&#39;s played at the end of the title fight??? Cant find it any where,anyon know song call play end titl fight cant find
71,LRIZ4mCi5Ps,@KLINTENATOR I think it&#39;s WHITESNAKE. HERE I GO,klinten think whitesnak go
72,LRIZ4mCi5Ps,"@muzzammil9 Have you seen the movie the Machinist,,Bale was way skinnier,real starved..",muzzammil seen movi machinist bale way skinnier real starv
73,LRIZ4mCi5Ps,@Sosodeflol lol no it wasn&#39;t a serious question...,sosodeflol lol seriou question
74,LRIZ4mCi5Ps,"@muzzammil9 I&#39;ll assume this is a serious question.  Like his other films, he lost a lot of weight b.c he&#39;s that dedicated.  No effects.",muzzammil assum seriou question like film lost lot weight b c dedic effect
75,LRIZ4mCi5Ps,2 people don&#39;t understand Walhberg&#39;s work and/or life.,peopl understand walhberg work life
76,LRIZ4mCi5Ps,"whats that song that plays in the movie. one part is like walk alone, its his entrance song. tell me plz. Btw movie is bad ass, too bad they dint put gatti",what song play movi one part like walk alon entranc song tell plz btw movi bad ass bad dint put gatti
77,LRIZ4mCi5Ps,WTF is with it turning to black?,wtf turn black
78,LRIZ4mCi5Ps,@tqliu except this is a true story,tqliu except true stori
79,LRIZ4mCi5Ps,Mickey Ward is a silent Hero for  New england. The best liver punch ever in Boxing,mickey ward silent hero new england best liver punch ever box
80,LRIZ4mCi5Ps,how did they make Bale look so scrawny? He&#39;s suppose to be.. *gruff voice*.. THE BATMAN!,make bale look scrawni suppos gruff voic batman
81,LRIZ4mCi5Ps,"WOW, ROCKY MUCH????",wow rocki much
82,LRIZ4mCi5Ps,"Great actors, but no thanks. This story and plot has been done to death.  Pass.",great actor thank stori plot done death pass
83,LRIZ4mCi5Ps,Lol casting christian bale and Amy adams to carry this sorry ass loser who calls him self an actor. yeah Mark wahlberg can&#39;t act for shit and everyone knows it.,lol cast christian bale ami adam carri sorri ass loser call self actor yeah mark wahlberg act shit everyon know
84,LRIZ4mCi5Ps,2010 to Christian Bale: it doesn&#39;t make you a deep actor to lose weight for a role that doesn&#39;t require it. Seek help.,christian bale make deep actor lose weight role requir seek help
85,LRIZ4mCi5Ps,i find this movie really hard to get into just cuz mark walberg n christian bale look NOTHING like the real micky ward n dicky ekland?? who were legends from the trilogy bout with the late arturo gatti. gatti was murdered last year by his wife. but nvm that. their war was probably the most savage. the most brutal.most raw &#39;fist fight&#39; EVER in modern time! round 9 of the 1st fight was considered the &#39;Round of the century!!!&quot; totally a &#39;sight to be seen&#39; in the sport of boxing in modern times.,find movi realli hard get cuz mark walberg n christian bale look noth like real micki ward n dicki ekland legend trilog bout late arturo gatti gatti murder last year wife nvm war probabl savag brutal raw fist fight ever modern time round st fight consid round centuri quot total sight seen sport box modern time
86,LRIZ4mCi5Ps,Looks really good...might go see it,look realli good might go see
87,LRIZ4mCi5Ps,christian bale yummy buff or not,christian bale yummi buff
88,LRIZ4mCi5Ps,"@uberathlete If you want to see Christian Bale really thin, see The Machinist. He looks like a skeleton in that movie, which he did just before Batman Begins.",uberathlet want see christian bale realli thin see machinist look like skeleton movi batman begin
89,LRIZ4mCi5Ps,@oleHABSole Please tell me you&#39;re joking.,olehabsol pleas tell joke
90,LRIZ4mCi5Ps,"looks like I don&#39;t have to pay any more to see it in the theater, they just gave me the whole resume of it.... :-s  crappy marketing these days",look like pay see theater gave whole resum crappi market day
