,ID,comments,cleaned_comments
0,yQy-ANhnUpE,"Not related to cloverfield, this is just a marketing tactic.",relat cloverfield market tactic
1,yQy-ANhnUpE,Now this is a trailer. Doesn&#39;t reveal much at all.,trailer reveal much
2,yQy-ANhnUpE,"I&#39;m so confused. This isn&#39;t anything like Cloverfield.<br>Although it would be interesting for the sequel to not be found footage, this seems so different.",confus anyth like cloverfield although would interest sequel found footag seem differ
3,yQy-ANhnUpE,They ina bunker a kaiju cant follow them down there ...it be like peeking down doorway going &quot;come on out so I can explode ur heads U_U &quot;,ina bunker kaiju cant follow like peek doorway go quot come explod ur head u u quot
4,yQy-ANhnUpE,Increible!!! Que gran sorpresa nos dieron!!! Y falta muy poco para su estreno en el que estaré ahí!!,increibl que gran sorpresa no dieron falta muy poco para su estreno en el que estar ah
5,yQy-ANhnUpE,I&#39;m so surprised that this was kept quiet for so long. Really looking forward to the movie!,surpris kept quiet long realli look forward movi
6,yQy-ANhnUpE,omfg! I&#39;m over here all giddy as a school girl. my sis and I have checked every few months since 2008 to see if he was ever going to start a sequel and I can&#39;t believe he did and did it in secret! come on March hurry up and get here!!!,omfg giddi school girl si check everi month sinc see ever go start sequel believ secret come march hurri get
7,yQy-ANhnUpE,I have been waiting eight years for this moment.,wait eight year moment
8,yQy-ANhnUpE,"Kept me waiting J.J. Kept me fucking waiting. <br>Going to be interesting to see how this one turns out, considering how different to the original it looks. At the very least, I hope it&#39;s an entertaining movie.",kept wait j j kept fuck wait go interest see one turn consid differ origin look least hope entertain movi
9,yQy-ANhnUpE,I bet she saw Jack and Locke coming to her shelter at the end of this trailer. There&#39;s not other explanation for that facial expression. I would react the same way if I see the man of science and the man of faith coming to my shelter.,bet saw jack lock come shelter end trailer explan facial express would react way see man scienc man faith come shelter
10,yQy-ANhnUpE,What is the song in the trailer?,song trailer
11,yQy-ANhnUpE,"Thought the lights out earthquake type thing was Goodman darting,how wrong I was",thought light earthquak type thing goodman dart wrong
12,yQy-ANhnUpE,Well this came out of nowhere! I&#39;m super hyped! :D,well came nowher super hype
13,yQy-ANhnUpE,Join the original Cloverfield IMDB Viral hunting crew at the 10 Cloverfield Lane message board (IMDB).  We have a thread dedicated to new Cloverfield viral content.,join origin cloverfield imdb viral hunt crew cloverfield lane messag board imdb thread dedic new cloverfield viral content
14,yQy-ANhnUpE,Lord of secrecy!,lord secreci
15,yQy-ANhnUpE,"Someone can tell me the dialogue of this trailer, please?",someon tell dialogu trailer pleas
16,yQy-ANhnUpE,"Seriously out of nowhere! Loved Cloverfield, especially the ad campaign and viral marketing the movie had. Can&#39;t wait for this! As much as I no longer care for the found footage genre,  Cloverfield was one of the few ones I liked/loved. And this movie is out in just 2 months? Holy shit. JJ is killin&#39; it lately! And the guy who wrote Whiplash wrote this as well.  Hype!",serious nowher love cloverfield especi ad campaign viral market movi wait much longer care found footag genr cloverfield one one like love movi month holi shit jj killin late guy wrote whiplash wrote well hype
17,yQy-ANhnUpE,Love the way they use that song.  Never really considered how creepy the lyrics could be.,love way use song never realli consid creepi lyric could
18,yQy-ANhnUpE,"J.J. Abrams is a master at marketing, all the STAR WARS 7 trailers didn&#39;t reveal the movie&#39;s story and I still remember seeing the trailer for SUPER 8 and not knowing a single thing about the movie. Same with STAR TREK INTO DARKNESS (even though that backfired on him, gotta give him credit",j j abram master market star war trailer reveal movi stori still rememb see trailer super know singl thing movi star trek dark even though backfir got ta give credit
19,yQy-ANhnUpE,I AM FUCKING PUMPED FOR THIS FILM,fuck pump film
20,yQy-ANhnUpE,I&#39;VE WAITED SO FUCKING LONG FOR THIS!,wait fuck long
21,yQy-ANhnUpE,"if we look at the last movie, we can assume that the first 20-30 minutes takes place in their bunker until she goes to open the door. Upon closer inspection, the camera is over her shoulder while she looks through the window, it looks like a person in a yellow quarantine type suit with a flashlight. check it out for yourself, pause it, its definitely a person she&#39;s looking at.<br><br>also really thrilled about it not being found footage.",look last movi assum first minut take place bunker goe open door upon closer inspect camera shoulder look window look like person yellow quarantin type suit flashlight check paus definit person look also realli thrill found footag
22,yQy-ANhnUpE,song?,song
23,yQy-ANhnUpE,Lol everyone was so caught up in Star Wars that we didn&#39;t even think about anything else...,lol everyon caught star war even think anyth els
24,yQy-ANhnUpE,THANK YOU J.J. ABRAMS!!!,thank j j abram
