,ID,comments,cleaned_comments
0,H-BWSrFqjMA,Don&#39;t waste your time. Just a bunch of big actors trying to act cool with zero coherent story and a load of unconnected meaningless dialogue and scenes which go nowhere.,wast time bunch big actor tri act cool zero coher stori load unconnect meaningless dialogu scene go nowher
1,H-BWSrFqjMA,such a great trailer but the film itself is just not enjoyable,great trailer film enjoy
2,H-BWSrFqjMA,this trailer tells me nothing,trailer tell noth
3,H-BWSrFqjMA,I am looking vjvb,look vjvb
4,H-BWSrFqjMA,bravo,bravo
5,H-BWSrFqjMA,"ufff que elenco, hay que verla",ufff que elenco hay que verla
6,bq9jI1QnEXU,I just finished reading the book 😭😭 I am so excited and can&#39;t wait to watch this movie!!!😭,finish read book excit wait watch movi
7,bq9jI1QnEXU,as many other people in the comments I just finished reading the book. It was a rush of emotions as were all of her books I&#39;ve read so far and I&#39;d like to watch the movie but I&#39;m gonna give it some time before I do. I&#39;m not sure if I&#39;m ready yet and also I cannot forgive Ugwu and am definitely not ready to reencounter the character.,mani peopl comment finish read book rush emot book read far like watch movi gon na give time sure readi yet also forgiv ugwu definit readi reencount charact
8,bq9jI1QnEXU,"Magical, love, trust, betrayals, war, life!",magic love trust betray war life
9,bq9jI1QnEXU,"Please, make the click in my CHANNEL, enter in INFORMATION, to make click in one of the first three connections, it is all detailed one to find it, their videotape deserves to be in the Album of the movie Stars, thank you to share it, welcome and congratulation.",pleas make click channel enter inform make click one first three connect detail one find videotap deserv album movi star thank share welcom congratul
12,bq9jI1QnEXU,"Guys don’t watch it, def watch king of Scotland. But this movie is just boring",guy watch def watch king scotland movi bore
13,bq9jI1QnEXU,"<a href=""https://www.youtube.com/watch?v=bq9jI1QnEXU&amp;t=1m17s"">1:17</a> where are you runing to ? <br>me : african meme - y r u running ?! y r u runing !!😂",rune african meme r u run r u rune
14,bq9jI1QnEXU,"It&#39;s pretty cool watching the trailer after getting all the way through the book, and having a pretty good idea which characters are which. Ugwu looks different from how I imagined him!",pretti cool watch trailer get way book pretti good idea charact ugwu look differ imagin
15,bq9jI1QnEXU,Where can I watch this??,watch
16,bq9jI1QnEXU,I just finished the book and the actor for Odenigbo was EXACTLY how I pictured him in my head. Cant wait to watch this,finish book actor odenigbo exactli pictur head cant wait watch
17,bq9jI1QnEXU,Link,link
18,bq9jI1QnEXU,I have read the book more than 6 times. Watched the movie over 30times,read book time watch movi time
19,bq9jI1QnEXU,Just finished the book,finish book
20,bq9jI1QnEXU,"Just finshed the book and I gotta say Im most disappointed in Kainene&#39;s appearance- why can&#39;t they just cast women who arent beautiful? Part of her character, part of her role in the story is her being the &#39;unattractive&#39; twin which creates the comparison between her and Olanna. not all women are gorgeous and thats ok!!! worth is not dependant on beauty!!! Kainene&#39;s bold leadership skills are in part based on her not being able to rely on her beauty like Olanna. She may not be beautiful but that led to other skills",finsh book got ta say im disappoint kainen appear cast women arent beauti part charact part role stori unattract twin creat comparison olanna women gorgeou that ok worth depend beauti kainen bold leadership skill part base abl reli beauti like olanna may beauti led skill
21,bq9jI1QnEXU,The book was amazing,book amaz
22,bq9jI1QnEXU,Wow look at Ugwu...I pictured him so well,wow look ugwu pictur well
23,bq9jI1QnEXU,Wondering what the 1.3k people who disliked this movie are on😂,wonder k peopl dislik movi
24,bq9jI1QnEXU,I just finished reading the book and I came on YouTube to watch reviews and the see the author talk about the book only to find out there&#39;s a movie! I&#39;m so excited to watch it!!!,finish read book came youtub watch review see author talk book find movi excit watch
25,bq9jI1QnEXU,Great Novel. I would be glad if they justify Ugwu character.<br>Overall Great Movie. Love from India,great novel would glad justifi ugwu charact overal great movi love india
26,bq9jI1QnEXU,"Which one is better, the movie or book?",one better movi book
27,bq9jI1QnEXU,I&#39;ve been to Lagos twice and the two visits rank amongst my favourite trips. I loved this book and enjoyed the film,lago twice two visit rank amongst favourit trip love book enjoy film
28,bq9jI1QnEXU,I can&#39;t find on Netflix,find netflix
29,bq9jI1QnEXU,Why does it have 1.3 tho.  duslikes? 🙄🤔,tho duslik
30,bq9jI1QnEXU,"I can&#39;t seem to get over how emotional I felt reading this book. It&#39;s such a beautiful, compelling and heart-wrenching book. <br>As I read, I could feel tradged looming but won&#39;t have imagined Kainene",seem get emot felt read book beauti compel heart wrench book read could feel tradg loom imagin kainen
31,bq9jI1QnEXU,"I can&#39;t seem to get over how emotional I felt reading this book. It&#39;s such a beautiful, compelling and heart-wrenching book. <br>As I read, I could feel tradged looming but won&#39;t have imagined Kainene",seem get emot felt read book beauti compel heart wrench book read could feel tradg loom imagin kainen
32,bq9jI1QnEXU,Nollywood has really come a long way. Wow!!!,nollywood realli come long way wow
33,bq9jI1QnEXU,I&#39;d like to know what happened to Kainene. For closure.,like know happen kainen closur
34,bq9jI1QnEXU,This is totally worth best film award.,total worth best film award
35,bq9jI1QnEXU,"Looks good , but wondering why there are more dislikes (1.3k) than likes (1k)",look good wonder dislik k like k
36,bq9jI1QnEXU,but Olana and Kaneine are as beautiful as they were described love this!!,olana kanein beauti describ love
37,bq9jI1QnEXU,Pakistan,pakistan
38,bq9jI1QnEXU,Watching this after finishing the book is just magical😂,watch finish book magic
39,bq9jI1QnEXU,I&#39;ve just finished readin the book it excites me to see that there is now a movie .,finish readin book excit see movi
40,bq9jI1QnEXU,Joseph Mawle 💙 love him 🙏🏻,joseph mawl love
41,bq9jI1QnEXU,I&#39;m sorry but that&#39;s not olanna,sorri olanna
42,bq9jI1QnEXU,"Ugwu is a bit disappointing for me, he looks a lot older than implied in the book.",ugwu bit disappoint look lot older impli book
43,bq9jI1QnEXU,The Youroba’s betrayed the Igbo’s so sad,youroba betray igbo sad
44,bq9jI1QnEXU,I must say I&#39;m quite happy with the cast 😍❤ can&#39;t wait to watch this,must say quit happi cast wait watch
45,bq9jI1QnEXU,this was overdone.. a real let down sadly,overdon real let sadli
46,bq9jI1QnEXU,i have read half of a Yellow sun more than twice. cant get enough of Olanna and Odenigbo. pure love! oh Ugwu&quot; my good man&quot;,read half yellow sun twice cant get enough olanna odenigbo pure love oh ugwu quot good man quot
47,bq9jI1QnEXU,I&#39;m busy reading the book...it is so amazing,busi read book amaz
48,bq9jI1QnEXU,subscribe to my YouTube channel for hilarious jokez,subscrib youtub channel hilari jokez
49,bq9jI1QnEXU,"I am looking for background music of this movie, at the end of this tralier you understand what i mean, if you&#39;ve idea, plz let me know. Regards",look background music movi end tralier understand mean idea plz let know regard
50,bq9jI1QnEXU,as a yoruba I ask igbos...what do you call yourselves now in 2018? biafrans? or nigerians?,yoruba ask igbo call biafran nigerian
51,bq9jI1QnEXU,I do not think the actors are picked corrected. The leading male actor should have been older and more reserved whereas the leading female actor should have been younger and sexually attractive.,think actor pick correct lead male actor older reserv wherea lead femal actor younger sexual attract
52,bq9jI1QnEXU,why am i just finding out about this?,find
53,bq9jI1QnEXU,"This movie is the definition of boring, and the accents and acting are so terrible",movi definit bore accent act terribl
54,bq9jI1QnEXU,ugwu is too big wtf,ugwu big wtf
55,bq9jI1QnEXU,ok but when are they adapting Americanah into a film?,ok adapt americanah film
56,bq9jI1QnEXU,"In my opinion, the best Nigerian movie everr...",opinion best nigerian movi everr
57,bq9jI1QnEXU,Rage bande annoncé,rage band annonc
58,bq9jI1QnEXU,Is Nigeria safe for Americans to visit these days?,nigeria safe american visit day
59,bq9jI1QnEXU,"There&#39;s another war greater and it&#39;s called &quot;THE BIAFRA WAR&quot; where  millions of people have starved to death because of food blockage in the past six months. One million people. Think about that for a minute. There are almost five thousand Harvard undergraduates. If each one of them died two hundred times, that would be almost a million deaths. Do people also realize that a total number of over 3.6million Igbo&#39;s died in that war between 1967 to 1970. The British, Russia, Egypt, and America supported and armed Nigeria to slaughter people who only wanted to be liberated from the injustice and mass killings of their kind before the war. Why is the world mute on this? Because the top dogs who are busy advocating for peace are fully involved. This is mass genocide and my people are not healed from the wound. To make it worst, Boko Haram, an Islamist terrorist group are killing the Igbo&#39;s also. The blood of my ancestor shall punish all those involved and their generation to generations shall perish.. All hail <a href=""http://www.youtube.com/results?search_query=%23Biafra"">#Biafra</a>.. The land of the rising sun.",anoth war greater call quot biafra war quot million peopl starv death food blockag past six month one million peopl think minut almost five thousand harvard undergradu one die two hundr time would almost million death peopl also realiz total number million igbo die war british russia egypt america support arm nigeria slaughter peopl want liber injustic mass kill kind war world mute top dog busi advoc peac fulli involv mass genocid peopl heal wound make worst boko haram islamist terrorist group kill igbo also blood ancestor shall punish involv gener gener shall perish hail biafra land rise sun
60,bq9jI1QnEXU,Nice movie and novel,nice movi novel
61,bq9jI1QnEXU,Lol,lol
62,bq9jI1QnEXU,This movie is very moving,movi move
63,bq9jI1QnEXU,Half Of A Yellow Sun in theaters all over Nigeria on August 1st pls support this movie.,half yellow sun theater nigeria august st pl support movi
64,bq9jI1QnEXU,None of them look black enough to be Nigerian ffs,none look black enough nigerian ff
65,bq9jI1QnEXU,south african actors to tho !,south african actor tho
66,bq9jI1QnEXU,The novel was amazing read by Chimamanda Ngozi Adichie - I hope the movie is Just as good!,novel amaz read chimamanda ngozi adichi hope movi good
67,bq9jI1QnEXU,Love it,love
68,bq9jI1QnEXU,Wow...,wow
69,bq9jI1QnEXU,finally a movie about the Nigerian civil war its an event that has been over looked for years,final movi nigerian civil war event look year
70,bq9jI1QnEXU,Great triailer and for anyone who thinks this is only about war and poor people they should watch the whole movie to see how wrong they are,great triailer anyon think war poor peopl watch whole movi see wrong
71,bq9jI1QnEXU,Makes me want to finish Purple Hibiscus for class even more.,make want finish purpl hibiscu class even
72,bq9jI1QnEXU,Half of a yellow sun( Biafran flag),half yellow sun biafran flag
73,bq9jI1QnEXU,You know a film is going to be powerful when it gives you goosebumps from just the trailer,know film go power give goosebump trailer
74,bq9jI1QnEXU,stick a random white man in the video just to get some views.. haha this movie still sucks donkey. I would only watch out of curiosity.. but definitely not worth spending money in movie theater to see.,stick random white man video get view haha movi still suck donkey would watch curios definit worth spend money movi theater see
75,bq9jI1QnEXU,Thandie Newton has a certain finesse.,thandi newton certain finess
76,bq9jI1QnEXU,That looks so awesome! I&#39;m seeing it!,look awesom see
77,bq9jI1QnEXU,Wow! Chewy sounds awesome!,wow chewi sound awesom
78,bq9jI1QnEXU,Wow! Chewy sounds awesome!,wow chewi sound awesom
79,bq9jI1QnEXU,"Anyone know the song playing from <a href=""http://www.youtube.com/watch?v=bq9jI1QnEXU&amp;t=0m50s"">0:50</a> onwards :(",anyon know song play onward
80,bq9jI1QnEXU,"First he cheats then he wants her back. If it didn&#39;t , mean anything then why did you do it man??? <a href=""http://www.youtube.com/results?search_query=%23assholes"">#assholes</a>",first cheat want back mean anyth man asshol
