,ID,comments,cleaned_comments
0,Ug9xufczPVE,"taken 1 and 2 has different directors, i guess this is gonna be good",taken differ director guess gon na good
1,Ug9xufczPVE,and where&#39;s our beloved Jasmine Trinca between the final actors&#39; list?? :),belov jasmin trinca final actor list
2,Ug9xufczPVE,Man Sean is looking bad. I mean not that he ever looked good. But great actor,man sean look bad mean ever look good great actor
3,Ug9xufczPVE,"I know it said this was based on a book, but this goes for all future action films.<br><br>you don&#39;t need a wife/daughter/son/family member to in danger/kidnapped in every film to &quot;add emotion&quot;. it&#39;s a cliche and it&#39;s getting old, every time I see a new action film where the hero&#39;s loved one is in danger it drags down the film for me.<br><br>the only action film in recent memory that did this well is Taken.<br><br>I wish more films would ditch this cliche, it&#39;s not needed.",know said base book goe futur action film need wife daughter son famili member danger kidnap everi film quot add emot quot clich get old everi time see new action film hero love one danger drag film action film recent memori well taken wish film would ditch clich need
4,Ug9xufczPVE,good cast!,good cast
5,Ug9xufczPVE,I&#39;m sick of trailers like this. gave away the entire plot from beginning to end. no reason for me to go see this movie now,sick trailer like gave away entir plot begin end reason go see movi
6,Ug9xufczPVE,Looks like great fun even though it&#39;s nothing new :),look like great fun even though noth new
7,Ug9xufczPVE,So anti-gun hypocrite Sean Penn plays pretend with firearms on the big screen but fights against the average American to have one for personal defense?  A Liberal hypocrite... yeah that sounds about right.,anti gun hypocrit sean penn play pretend firearm big screen fight averag american one person defens liber hypocrit yeah sound right
8,Ug9xufczPVE,americans and their guns,american gun
9,Ug9xufczPVE,Damn. Old people be going senile and shooting everyone these past 5 years. lmao Liam Neeson look what you have wrought.,damn old peopl go senil shoot everyon past year lmao liam neeson look wrought
10,Ug9xufczPVE,"This movie will be bad, you&#39;ll see.",movi bad see
11,Ug9xufczPVE,"My philosophy: If you are Gay, don&#39;t play tough guy.<br><br>The only thing I like in the movie is the Glock with a 33 round mag.",philosophi gay play tough guy thing like movi glock round mag
12,Ug9xufczPVE,Penn was a bad choice for this role,penn bad choic role
13,Ug9xufczPVE,Buy it,buy
14,Ug9xufczPVE,Looks good,look good
15,Ug9xufczPVE,"Sean Penn in a gun movie, Pot calling the kettle black..",sean penn gun movi pot call kettl black
16,Ug9xufczPVE,Im so happy Sean Penn is in something like this where hes just a bad ass. Since Mystic River Ive been waiting for him to play a part where hes taking names and shit. Im in.,im happi sean penn someth like he bad ass sinc mystic river ive wait play part he take name shit im
17,Ug9xufczPVE,I love how the only thing good in this movie is javier bardem and sean penn to but idk this movie looks predictable,love thing good movi javier bardem sean penn idk movi look predict
18,Ug9xufczPVE,So Taken but no Liam.,taken liam
19,Ug9xufczPVE,Gil Scott-Heron!,gil scott heron
20,Ug9xufczPVE,That cast!,cast
21,Ug9xufczPVE,"There&#39;s always a book !!..once again, it&#39;s all been done before by Hollywood. I&#39;ve said it before many times...if you want originality, go to Spain, Sweden, France and S.E. Asia...America hasn&#39;t got a clue anymore.",alway book done hollywood said mani time want origin go spain sweden franc e asia america got clue anymor
22,Ug9xufczPVE,Sick! Love the cast. Sean Penn is awesome,sick love cast sean penn awesom
23,Ug9xufczPVE,"Haven&#39;t we seen this movie like a million times before, only with different actors and a different title? And why does Sean Penn look sooo god damn bad? He looks like someone in his early 70s. Wrinkly bastard.",seen movi like million time differ actor differ titl sean penn look sooo god damn bad look like someon earli wrinkli bastard
24,Ug9xufczPVE,"Beyond The Trailer you should do a Review on this trailer. Sean Penn Jumping into the helm of an Action film where he is kicking Ass, this trailer looks impressive &amp; has a great cast of actors!",beyond trailer review trailer sean penn jump helm action film kick ass trailer look impress amp great cast actor
25,Ug9xufczPVE,Won&#39;t lie Gil Scott-Heron made the end of this trailer pretty epic :),lie gil scott heron made end trailer pretti epic
26,Ug9xufczPVE,Not as over the top as i hoped.,top hope
27,Ug9xufczPVE,The movie may seem cliched but it definitely has lots of potential.,movi may seem clich definit lot potenti
28,Ug9xufczPVE,No.,
29,Ug9xufczPVE,What&#39;s the name of the song in the trailer?,name song trailer
30,Ug9xufczPVE,"Sean Penn?  Who the f*ck wants to watch that ass-clown in an action movie? Seriously, the hypocrite should just fade away, just another narcissistic liberal progressive with his hand out!",sean penn f ck want watch ass clown action movi serious hypocrit fade away anoth narcissist liber progress hand
31,Ug9xufczPVE,The highlight of the movie was The BMW M4,highlight movi bmw
32,Ug9xufczPVE,"Why does Sean penn feel so miscast to me, I&#39;m feeling Gerard butler, matt Damon or a list of other leading men, Sean is such a good character actor, (assassination of Richard Nixon, I am Sam) it&#39;s almost like this is too easy or beneath him but I suppose i can&#39;t judge based on a trailer, anyone else get that feeling though?",sean penn feel miscast feel gerard butler matt damon list lead men sean good charact actor assassin richard nixon sam almost like easi beneath suppos judg base trailer anyon els get feel though
33,Ug9xufczPVE,Sean penn is awsomeeeee,sean penn awsomeeee
34,Ug9xufczPVE,Has a formula of been there done that already. The trailer shows the whole film.,formula done alreadi trailer show whole film
35,Ug9xufczPVE,so let me guess he&#39;s a private military contractor doing some dirty works in 3rd world country and he save everything they done in diary&#39;s and the company kidnap his girl to kill him? no i didnt read the video description hahaha,let guess privat militari contractor dirti work rd world countri save everyth done diari compani kidnap girl kill didnt read video descript hahaha
36,Ug9xufczPVE,Basically we just saw the movie lol.,basic saw movi lol
