,ID,comments,cleaned_comments
0,HydiAICZq6I,"The Labours of Hercules is a parable to awaken the hero by taming the ego through a series of challenges where he has to reflect on his own errors in judgement to find inner strength...this film, in true Hollywood form distorts the original story to propagate the false notion that there is glory in the raising of an army, that a true hero seeks vengance rather than forgiveness, fights for money and lies about his identity.",labour hercul parabl awaken hero tame ego seri challeng reflect error judgement find inner strength film true hollywood form distort origin stori propag fals notion glori rais armi true hero seek venganc rather forgiv fight money lie ident
1,HydiAICZq6I,The Rock - zzzzzzzzzzzzzzzzzzzzzzzzzzzzz.,rock zzzzzzzzzzzzzzzzzzzzzzzzzzzzz
2,HydiAICZq6I,"We are not gonna talk about <a href=""https://www.youtube.com/watch?v=HydiAICZq6I&amp;t=0m35s"">0:35</a>",gon na talk
3,HydiAICZq6I,Dwayne Johnson is my favorite he is so strong he he was also in Jumanji rampage Baywatch skyscraper Dwayne is my favorite,dwayn johnson favorit strong also jumanji rampag baywatch skyscrap dwayn favorit
4,HydiAICZq6I,"Except the greek mythological monsters scenes lasted for a couple of minutes, it&#39;s good.",except greek mytholog monster scene last coupl minut good
5,HydiAICZq6I,I got Thor Vibes,got thor vibe
6,HydiAICZq6I,Holy crap! Dwayne Johnson with long hair!?!?,holi crap dwayn johnson long hair
7,HydiAICZq6I,this is already 6 years old I remember when this was new vividly,alreadi year old rememb new vividli
8,HydiAICZq6I,"Dear fucking lord what where they thinking with this trash? What in the fuck is wrong with the myth itself? HERACLES being tortured by his step mother HERA because of Zeus&#39; adultery. The only way for Heracles to achieve forgiveness is by completing the 12 tasks set out for him. Kill the lion, the hydra, the minotaur blah blah blah. The material is fucking there! These writers don&#39;t need to fuck with it! What in the holy mother of fuck is this Thor rip off shit? No fucking way am I giving this excrement the time of day. I refuse to watch this shit",dear fuck lord think trash fuck wrong myth heracl tortur step mother hera zeu adulteri way heracl achiev forgiv complet task set kill lion hydra minotaur blah blah blah materi fuck writer need fuck holi mother fuck thor rip shit fuck way give excrement time day refus watch shit
9,HydiAICZq6I,"⮚ Hercules (2014) f&#39;u&quot;l&#39;l M&#39;o&#39;V&#39;i&quot;E ⮘<br>&gt;&gt; <a href=""http://playonspotmovie.blogspot.com/tt1267297/pos.html"">playonspotmovie.blogspot.com/tt1267297/pos.html</a><br>Subtitles Available<br><br><br>√™ Lorsqu&#39;une pilule qui donne aux utilisateurs cinq minutes de super pouvoirs inattendus arrive dans les rues de<br>la Nouvelle-Orléans, un adolescent marchand et un policier local doivent faire équipe avec un ancien soldat pour<br>faire tomber le groupe responsable de sa fabrication. √™ Когда таблетка, дающая пользователям пять минут<br>неожиданных сверхспособностей, попадает на улицы Нового Орлеана, торговец-подросток и местный полицейский<br>√™должны объединиться с бывшим солдатом, чтобы уничтожить группу, √™ответственную",hercul f u quot l l v quot e gt gt playonspotmovi blogspot com tt po htmlsubtitl avail lorsqu une pilul qui donn aux utilisateur cinq minut de super pouvoir inattendu arriv dan le rue dela nouvel orl an un adolesc marchand et un polici local doivent fair quip avec un ancien soldat pourfair tomber le group respons de sa fabric
10,HydiAICZq6I,Me encanta Hercules de mi Heroe de Leyenda Favorito mi Película Favorita.,encanta hercul de mi hero de leyenda favorito mi pel cula favorita
11,HydiAICZq6I,The best Hercules movie !!!,best hercul movi
12,HydiAICZq6I,"so apparently that guy actually wants to die; &quot;excuse me, that was my moment!&quot;...... lol",appar guy actual want die quot excus moment quot lol
13,HydiAICZq6I,It sucked,suck
14,HydiAICZq6I,does this film take place in ancient greece or sparta?,film take place ancient greec sparta
15,HydiAICZq6I,Grunt Cox You Tube videos,grunt cox tube video
